start_pos_1based,score
1,-5.101080612556375
2,0.05365502551363688
3,-3.953678159718834
4,-2.9263288910722145
5,-5.611906236322366
6,1.891934510376585
7,-1.5865545455872172
8,-1.2092603144457486
9,-3.3783140148152717
10,-2.749705355392898
11,-3.665996087267053
12,-1.6735659225768469
13,-1.9920196536953818
14,-0.42080295408147905
15,-0.1537401688324337
16,-1.0757289218212265
17,0.27234422647846634
18,-0.7392566852000136
19,-4.071461195375218
20,-1.4324038657599591
21,0.8319600144138891
22,-3.6659960872670534
23,-3.2241633349880137
24,0.7243293502215236
25,0.7468022060735822
26,-4.476926303483382
27,-3.214010963523996
28,-1.4504223712626367
29,-3.4428525359528432
30,-1.5557828869204635
31,-5.101080612556375
32,-1.1991079429817308
33,-3.61947607163216
34,-2.2977202316498406
35,-3.4146816589861473
36,-0.4695931182509109
37,-2.462023282941117
38,-2.056558174832953
39,-2.567383798598944
40,-3.5118454074397945
41,-4.071461195375218
42,0.3695079749321142
43,-3.1063802993316303
44,-3.2241633349880137
45,-3.665996087267053
46,-1.8922551235416765
47,-1.0269387576517945
48,-2.520863782964051
49,-3.61947607163216
50,-5.206441128214202
51,0.97564377850243
52,-1.0757289218212265
53,-2.4620232829411166
54,-2.279701726147162
55,-3.8483176440610074
56,-3.665996087267053
57,-2.4132331187716853
58,0.11819354665120799
59,-1.8378689738681233
60,-1.6735659225768469
61,-0.035957133176050315
62,-3.1063802993316303
63,-2.1255510463199045
64,-0.42080295408147894
65,-4.695615504448211
66,-0.8626357063605182
67,-3.331793999180379
68,-0.19765940276726923
69,-2.2797017261471626
70,-1.4504223712626372
71,-3.0216390708765397
72,-0.7572751907026914
73,-1.9612479950286277
74,-4.359143267826998
75,-2.520863782964051
76,2.4672986552801466
77,-0.4695931182509109
78,-4.3591432678269975
79,-4.225611875202476
80,-2.749705355392898
81,-4.2537827521691725
82,-2.5208637829640503
83,-3.4146816589861477
84,1.9305723030819988
85,-1.2988724731354362
86,-3.8483176440610074
87,-3.820146767094312
88,1.5251071949738344
89,-2.4132331187716853
90,-4.071461195375218
91,-4.63107698331064
92,-0.6394921550463085
93,-3.0906319423634914
94,-3.665996087267053
95,-0.7291043137359955
96,-2.056558174832953
97,-3.1269995865343665
98,-3.917310515547959
99,-2.520863782964051
100,-0.48794225691910753
101,0.27234422647846623
102,-2.125551046319904
103,-5.324224163870586
104,-2.5208637829640503
105,2.2284067469977975
106,-0.5592052769405981
107,-4.3591432678269975
108,-2.2331817105122695
109,-2.462023282941117
110,-2.056558174832953
111,-2.125551046319904
112,-3.665996087267053
113,-1.72008593821174
114,0.11819354665120818
115,-2.413233118771685
116,-3.378314014815272
117,-2.926328891072215
118,-2.462023282941117
119,0.9654914070384116
120,1.0990227996629343
121,-0.3825817412612812
122,-4.764608375935162
123,-2.9728489067071084
124,-1.8378689738681233
125,1.5251071949738342
126,-1.0269387576517945
127,-5.324224163870586
128,-4.359143267826998
129,2.957921571728618
130,0.11819354665120796
131,-3.260530979158889
132,-4.764608375935162
133,-2.703185339758005
134,-3.4428525359528437
135,0.8578607428460464
136,-0.1694885258005729
137,-3.714786251436485
138,-3.511845407439794
139,-3.309321143328321
140,-1.49694238689753
141,-4.918759055762421
142,-1.961247995028628
143,-4.918759055762421
144,-1.5557828869204635
145,-2.14617033352264
146,-1.7688761023811717
147,-3.953678159718834
148,-4.225611875202476
149,-2.700915191223466
150,-0.16948852580057283
151,-1.0269387576517945
152,-3.0906319423634914
153,-1.1139501346414244
154,-3.8201467670943114
155,-3.665996087267053
156,-2.926328891072215
157,-2.462023282941117
158,0.11819354665120807
159,0.8113407272111536
160,-0.3825817412612812
161,-4.3591432678269975
162,-3.7837791229234368
163,-2.4132331187716853
164,-0.2872715614569564
165,-1.0269387576517945
166,-3.937929802750695
167,-3.511845407439795
168,-2.721534478426202
169,-2.125551046319904
170,-2.9728489067071076
171,-3.260530979158889
172,-4.2256118752024765
173,-4.359143267826998
174,-0.2872715614569564
175,2.6031001964392084
176,0.27234422647846634
177,-4.225611875202476
178,-4.764608375935162
179,-2.3667131031367923
180,1.2168058353193179
181,-5.72968927197875
182,-2.5208637829640503
183,-3.9536781597188337
184,-0.5059607624217857
185,-2.125551046319904
186,-2.7031853397580052
187,-1.422251494295941
188,-4.2256118752024765
189,1.5251071949738342
190,-2.6851668342553268
191,-2.749705355392898
192,-4.918759055762422
193,-1.4504223712626372
194,-0.7392566852000136
195,-0.42080295408147905
196,-0.8468873493923791
197,-3.714786251436485
198,0.1647135622861008
199,0.35935560346809603
200,-1.673565922576847
201,-3.7837791229234368
202,-4.290150396340047
203,-1.1139501346414242
204,-2.6851668342553268
205,-1.8277166024041054
206,-4.359143267826998
207,-0.16948852580057294
208,-3.1063802993316303
209,-1.0449572631544726
210,-1.8277166024041054
211,-2.703185339758005
212,-0.9804187420169017
213,-0.2872715614569564
214,-2.4620232829411166
215,-1.7688761023811717
216,-2.5955546755656393
217,-1.209260314445749
218,-2.8186982268798495
219,0.27234422647846623
220,-0.2872715614569563
221,-2.926328891072215
222,-1.4324038657599591
223,0.7243293502215239
224,-1.7688761023811717
225,-5.101080612556375
226,-1.22158079883379
227,0.02288336684688322
228,0.3188642421133594
229,-4.63107698331064
230,-2.6161739627683755
231,-1.6735659225768469
232,-1.209260314445749
233,-3.9379298027506953
234,-1.2681008144686827
235,0.5236586547593721
236,-0.6927366695651208
237,-5.6119062363223655
238,-1.961247995028628
239,-0.6927366695651208
240,-0.5059607624217859
241,-6.01737134443053
242,-4.918759055762422
243,-2.115398674855886
244,-4.695615504448211
245,-3.8201467670943114
246,0.6778093345866308
247,2.1330965671934727
248,-2.972848906707108
249,-6.422836452538695
250,-0.70848502653326
251,-1.0269387576517945
252,-2.8186982268798495
253,-3.378314014815272
254,-2.2977202316498406
255,-0.8626357063605182
256,-4.359143267826998
257,0.1647135622861008
258,-3.309321143328321
259,0.675539186052092
260,-2.6851668342553268
261,-2.2977202316498406
262,-1.9920196536953818
263,-1.2092603144457486
